ibgeCode,municipio,uf,tem_aeroporto,distancia_aeroporto_km,aeroporto_comercial_mais_proximo,tipo,fonte
2915700,Itamari,BA,False,45.46,,,
2915809,Itambé,BA,False,23.4,,,
2915908,Itanagra,BA,False,72.27,,,
2916005,Itanhém,BA,False,78.17,,,
2916104,Itaparica,BA,False,36.56,,,
2916302,Itapebi,BA,False,84.53,,,
2916401,Itapetinga,BA,True,24.57,,,
2916500,Itapicuru,BA,False,33.17,,,
2916609,Itapitanga,BA,False,33.94,,,
2916203,Itapé,BA,False,52.55,,,
2916708,Itaquara,BA,False,51.26,,,
2916807,Itarantim,BA,False,55.02,,,
2916856,Itatim,BA,False,32.01,,,
2916906,Itiruçu,BA,False,35.62,,,
2917003,Itiúba,BA,False,34.82,,,
2917102,Itororó,BA,False,36.86,,,
2917201,Ituaçu,BA,False,89.82,,,
2917300,Ituberá,BA,False,46.64,,,
2917334,Iuiu,BA,False,83.37,,,
2917359,Jaborandi,BA,False,98.27,,,
2917409,Jacaraci,BA,False,78.52,,,
2917508,Jacobina,BA,True,3.34,,,
2917607,Jaguaquara,BA,False,38.1,,,
2917706,Jaguarari,BA,False,53.3,,,
2917805,Jaguaripe,BA,False,19.91,,,
2917904,Jandaíra,BA,False,88.56,,,
2918001,Jequié,BA,True,8.39,,,
2918100,Jeremoabo,BA,False,68.13,,,
2918209,Jiquiriçá,BA,False,63.96,,,
2918308,Jitaúna,BA,False,23.68,,,
2918357,João Dourado,BA,False,33.05,,,
2918407,Juazeiro,BA,False,37.22,,,
2918456,Jucuruçu,BA,False,88.7,,,
2918506,Jussara,BA,False,43.6,,,
2918555,Jussari,BA,False,59.18,,,
2918605,Jussiape,BA,False,56.76,,,
2918704,Lafaiete Coutinho,BA,False,34.09,,,
2918753,Lagoa Real,BA,False,29.59,,,
2918803,Laje,BA,False,40.21,,,
2919009,Lajedinho,BA,False,35.13,,,
2919058,Lajedo do Tabocal,BA,False,21.5,,,
2918902,Lajedão,BA,False,30.23,,,
2919108,Lamarão,BA,False,47.32,,,
2919157,Lapão,BA,False,18.78,,,
2919207,Lauro de Freitas,BA,False,5.68,,,
2919306,Lençóis,BA,True,8.8,,,
2919405,Licínio de Almeida,BA,False,51.36,,,
2919504,Livramento de Nossa Senhora,BA,False,58.76,,,
2919553,Luís Eduardo Magalhães,BA,False,49.92,,,
2919603,Macajuba,BA,False,42.03,,,
2919702,Macarani,BA,False,35.6,,,
2919801,Macaúbas,BA,False,66.29,,,
2919900,Macururé,BA,False,74.02,,,
2919926,Madre de Deus,BA,False,39.36,,,
2919959,Maetinga,BA,False,70.63,,,
2920007,Maiquinique,BA,False,47.36,,,
2920106,Mairi,BA,False,75.22,,,
2920205,Malhada,BA,False,97.03,,,
2920304,Malhada de Pedras,BA,False,79.49,,,
2920403,Manoel Vitorino,BA,False,55.19,,,
2920452,Mansidão,BA,False,67.25,,,
2920502,Maracás,BA,True,15.7,,,
2920601,Maragogipe,BA,False,53.28,,,
2920700,Maraú,BA,True,15.66,,,
2920809,Marcionílio Souza,BA,False,34.68,,,
2920908,Mascote,BA,False,55.37,,,
2921005,Mata de São João,BA,False,50.69,,,
2921054,Matina,BA,False,44.99,,,
2921104,Medeiros Neto,BA,False,51.3,,,
2921203,Miguel Calmon,BA,False,29.2,,,
2921302,Milagres,BA,False,40.66,,,
2921401,Mirangaba,BA,False,46.35,,,
2921450,Mirante,BA,False,81.51,,,
2921500,Monte Santo,BA,True,23.59,,,
2921609,Morpará,BA,False,50.55,,,
2921708,Morro do Chapéu,BA,False,74.62,,,
2921807,Mortugaba,BA,False,96.35,,,
2921906,Mucugê,BA,True,4.76,,,
2922003,Mucuri,BA,False,54.96,,,
2922052,Mulungu do Morro,BA,False,61.09,,,
2922102,Mundo Novo,BA,False,68.67,,,
2922201,Muniz Ferreira,BA,False,34.92,,,
2922250,Muquém do São Francisco,BA,False,31.61,,,
2922300,Muritiba,BA,False,41.61,,,
2922409,Mutuípe,BA,False,55.54,,,
2922508,Nazaré,BA,False,37.99,,,
2922607,Nilo Peçanha,BA,False,45.79,,,
2922656,Nordestina,BA,False,48.99,,,
2922706,Nova Canaã,BA,False,44.35,,,
2922730,Nova Fátima,BA,False,102.67,,,
2922755,Nova Ibiá,BA,False,40.16,,,
2922805,Nova Itarana,BA,False,60.23,,,
2922854,Nova Redenção,BA,False,40.63,,,
2922904,Nova Soure,BA,False,21.85,,,
2923001,Nova Viçosa,BA,False,41.91,,,
2923035,Novo Horizonte,BA,False,77.14,,,
2923050,Novo Triunfo,BA,False,84.28,,,
2923100,Olindina,BA,False,35.36,,,
2923209,Oliveira dos Brejinhos,BA,False,54.9,,,
2923308,Ouriçangas,BA,False,34.57,,,
2923357,Ourolândia,BA,False,73.02,,,
2923407,Palmas de Monte Alto,BA,False,51.58,,,
2923506,Palmeiras,BA,False,31.32,,,
2923605,Paramirim,BA,False,61.27,,,
2923704,Paratinga,BA,False,59.65,,,
2923803,Paripiranga,BA,False,84.73,,,
2923902,Pau Brasil,BA,False,66.78,,,
2924009,Paulo Afonso,BA,True,15.94,,,
2924207,Pedro Alexandre,BA,False,79.97,,,
2924108,Pedrão,BA,False,29.78,,,
2924306,Piatã,BA,False,47.88,,,
2924405,Pilão Arcado,BA,False,98.99,,,
2924504,Pindaí,BA,False,30.02,,,
2924603,Pindobaçu,BA,False,36.35,,,
2924652,Pintadas,BA,False,80.39,,,
2924678,Piraí do Norte,BA,False,52.66,,,
2924702,Piripá,BA,False,86.76,,,
2924801,Piritiba,BA,False,59.25,,,
2924900,Planaltino,BA,False,28.65,,,
2925006,Planalto,BA,False,53.61,,,
2925204,Pojuca,BA,False,61.97,,,
2925253,Ponto Novo,BA,False,48.87,,,
2925303,Porto Seguro,BA,True,29.77,,,
2925402,Potiraguá,BA,False,75.01,,,
2925105,Poções,BA,False,70.58,,,
2925501,Prado,BA,True,20.29,,,
2925600,Presidente Dutra,BA,False,17.02,,,
2925709,Presidente Jânio Quadros,BA,False,90.05,,,
2925758,Presidente Tancredo Neves,BA,False,49.5,,,
2924058,Pé de Serra,BA,False,84.25,,,
2925808,Queimadas,BA,False,68.87,,,
2925907,Quijingue,BA,False,41.82,,,
2925931,Quixabeira,BA,False,53.47,,,
2925956,Rafael Jambeiro,BA,False,36.54,,,
2926004,Remanso,BA,True,15.49,,,
2926103,Retirolândia,BA,False,95.02,,,
2926400,Riacho de Santana,BA,False,49.39,,,
2926202,Riachão das Neves,BA,False,54.08,,,
2926301,Riachão do Jacuípe,BA,False,70.87,,,
2926509,Ribeira do Amparo,BA,False,19.78,,,
2926608,Ribeira do Pombal,BA,False,40.16,,,
2926657,Ribeirão do Largo,BA,False,44.86,,,
2927002,Rio Real,BA,False,78.63,,,
2926707,Rio de Contas,BA,False,69.62,,,
2926806,Rio do Antônio,BA,False,55.21,,,
2926905,Rio do Pires,BA,False,77.05,,,
2927101,Rodelas,BA,False,52.0,,,
2927200,Ruy Barbosa,BA,False,48.79,,,
2927309,Salinas da Margarida,BA,False,47.39,,,
2927408,Salvador,BA,True,21.16,,,
2927606,Santa Brígida,BA,False,41.34,,,
2927507,Santa Bárbara,BA,False,30.42,,,
2927705,Santa Cruz Cabrália,BA,False,26.63,,,
2927804,Santa Cruz da Vitória,BA,False,63.2,,,
2927903,Santa Inês,BA,False,67.09,,,
2928059,Santa Luzia,BA,False,30.42,,,
2928109,Santa Maria da Vitória,BA,True,27.08,,,
2928406,Santa Rita de Cássia,BA,False,68.43,,,
2928505,Santa Terezinha,BA,False,14.22,,,
2928000,Santaluz,BA,False,86.8,,,
2928208,Santana,BA,False,48.1,,,
2928307,Santanópolis,BA,False,25.38,,,
2928604,Santo Amaro,BA,False,43.62,,,
2928703,Santo Antônio de Jesus,BA,False,35.42,,,
2928802,Santo Estêvão,BA,False,38.73,,,
2929602,Sapeaçu,BA,False,25.39,,,
2929750,Saubara,BA,False,50.97,,,
2929800,Saúde,BA,False,33.17,,,
2929909,Seabra,BA,False,65.95,,,
2930006,Sebastião Laranjeiras,BA,False,57.24,,,
2930105,Senhor do Bonfim,BA,True,5.83,,,
2930204,Sento Sé,BA,True,47.49,,,
2930303,Serra Dourada,BA,False,73.66,,,
2930402,Serra Preta,BA,False,52.01,,,
2930154,Serra do Ramalho,BA,False,45.5,,,
2930501,Serrinha,BA,False,60.81,,,
2930600,Serrolândia,BA,False,44.6,,,
2930709,Simões Filho,BA,False,18.02,,,
2930774,Sobradinho,BA,False,46.64,,,
2930808,Souto Soares,BA,False,75.59,,,
2929701,Sátiro Dias,BA,False,50.91,,,
2928901,São Desidério,BA,False,94.89,,,
2928950,São Domingos,BA,False,107.91,,,
2929107,São Felipe,BA,False,39.08,,,
2929206,São Francisco do Conde,BA,False,44.37,,,
2929008,São Félix,BA,False,49.53,,,
2929057,São Félix do Coribe,BA,False,26.35,,,
2929255,São Gabriel,BA,False,35.25,,,
2929305,São Gonçalo dos Campos,BA,False,24.48,,,
2929354,São José da Vitória,BA,False,44.85,,,
2929370,São José do Jacuípe,BA,False,75.72,,,
2929404,São Miguel das Matas,BA,False,31.91,,,
2929503,São Sebastião do Passé,BA,False,47.92,,,
2930758,Sítio do Mato,BA,False,50.81,,,
2930766,Sítio do Quinto,BA,False,95.83,,,
2930907,Tabocas do Brejo Velho,BA,False,102.81,,,
2931004,Tanhaçu,BA,False,89.8,,,
2931053,Tanque Novo,BA,False,51.23,,,
2931103,Tanquinho,BA,False,33.85,,,
2931202,Taperoá,BA,False,39.54,,,
2931301,Tapiramutá,BA,False,84.05,,,
