cnpj,razaoSocial,nomeFantasia,matrizFilial,situacaoCadastral,cnaePrincipal,cnaeSecundarios,municipio,uf,capitalSocial,porte,motivoMatch
18266126000178,JOSIANE DEISE ALVES,JDA MONITORAMENTO DE ALARMES,MATRIZ,ATIVA,8020001,,SANTA CRUZ DO SUL,RS,"5000,00",01,PALAVRA_CHAVE_GR
22809194000103,LAG SISTEMAS DE MONITORAMENTO LTDA,LAG MONITORAMENTO,MATRIZ,ATIVA,8020001,4321500;4742300,SAO PAULO,SP,"10000,00",01,PALAVRA_CHAVE_GR
25271684000197,DIGITAL FORTALEZA MONITORAMENTO LTDA,,MATRIZ,ATIVA,8020001,8111700,PINHAIS,PR,"50000,00",01,PALAVRA_CHAVE_GR
22580606000186,COGESAN - COMPANHIA GERENCIADORA DE SANEAMENTO LTDA,COGESAN - COMPANHIA GERENCIADORA DE SANEAMENTO,MATRIZ,ATIVA,3600601,3311200;3701100;3811400;3821100;4213800;4222701;4223500;4313400;4321500;4322301;4330403;4330404;4399103;4399199;5320201;5320202;6201501;6201502;6202300;6209100;6311900;7112000;7120100;8129000;8211300;8219999;8220200;8291100;8299701;8299799;9511800;9521500,TANGARA DA SERRA,MT,"500000,00",01,PALAVRA_CHAVE_GR
08718709000139,GERENSAT MONITORAMENTO E GERENCIAMENTO DE RISCOS DE VEICULOS E CARGAS LTDA,GERENSAT MONITORAMENTO E GERENCIAMENTO DE RISCOS,MATRIZ,ATIVA,8020001,4614100;6202300;6204000;6311900;8599604,CASCAVEL,PR,"110000,00",03,PALAVRA_CHAVE_GR
08722089000101,JM SERVICOS EM GERAL E TRANSPORTE LTDA,JM SERVICOS E TRANSPORTE,MATRIZ,ATIVA,4930201,1813001;2539001;3313901;3314701;3314704;3314705;3314710;3811400;4120400;4213800;4221902;4222701;4313400;4321500;4322302;4329101;4330401;4330402;4330403;4330404;4330499;4399101;4399103;4399199;4930202;4930203;4930204;5920100;6010100;6399200;7111100;7112000;7311400;7312200;7319003;7319099;7711000;7719599;7732201;7739099;8011101;8020001;8121400;8129000;8219901,SERRA,ES,"10000,00",03,CNAE_CARGA_TRANSPORTE
16796137000134,C.O.P.M. CENTRO DE OPERACOES DE PORTARIA E MONITORAMENTO LTDA,,MATRIZ,ATIVA,8020001,8111700;8129000,RIBEIRAO PIRES,SP,"60000,00",05,PALAVRA_CHAVE_GR
15299378000105,A. N. ESTEVAM RASTREAMENTO ME,AUTOCONECT RASTREAMENTO VIA SATELITE,MATRIZ,ATIVA,4520007,8020001,JABOATAO DOS GUARARAPES,PE,"80000,00",01,PALAVRA_CHAVE_GR
13021397000140,NTS - NOVA TECNOLOGIA EM SISTEMAS DE MONITORAMENTO LTDA,NTS,MATRIZ,ATIVA,8020001,4321500;4322301;4652400;4669999;4742300;4752100;7020400;7739099,PALMAS,TO,"400000,00",05,PALAVRA_CHAVE_GR
10628475000180,VELOCE LOCACOES E TRANSPORTES LTDA,VELOCE LOCACOES E TRANSPORTES,MATRIZ,ATIVA,7732201,0600003;0729402;0810002;0810004;0810006;0810007;0810099;0990402;0990403;3314706;3319800;3321000;3600602;4292801;4299599;4311801;4311802;4313400;4319300;4399101;4399102;4399199;4520002;4520005;4520006;4530701;4530702;4530703;4530704;4530705;4744004;4744099;4930202;4930203;7711000;7731400;7739001;8020001,CURRAIS NOVOS,RN,"100000,00",01,CNAE_CARGA_TRANSPORTE
16102494000155,NW COMERCIO DE TECNOLOGIA DE RASTREAMENTO DE ATIVOS LTDA,NW COMERCIO DE TECNOLOGIA DE RASTREAMENTO DE ATIVOS LTD,MATRIZ,ATIVA,6202300,4751201;6201501;6203100;6204000,NITEROI,RJ,"10000,00",03,PALAVRA_CHAVE_GR
12261146000170,TEMPO REAL MONITORAMENTO LTDA,TEMPO REAL,MATRIZ,ATIVA,8020001,,GOIANIA,GO,"100000,00",03,PALAVRA_CHAVE_GR
25031513000190,F.V.S. SERVICOS LTDA,FORTESAT RASTREAMENTO VEICULAR,MATRIZ,ATIVA,8020001,2610800;2651500;4530701;4530703;4651601;6202300;7490199;7739099;8011101,GOIANIA,GO,"100000,00",01,PALAVRA_CHAVE_GR
21402833000159,R M SERVICOS E TRANSPORTES LTDA,VIA URBANA TRANSPORTES,MATRIZ,ATIVA,4924800,4753900;4759899;4921301;4923002;4929901;4929902;6201501;6202300;6209100;7711000;7719599;7739099;7810800;8020001;8111700;8121400;8129000;8219999,EMBU DAS ARTES,SP,"400000,00",01,CNAE_CARGA_TRANSPORTE
09449938000168,J N TRANSPORTE E TURISMO LTDA,J N TRANSPORTE E TURISMO,MATRIZ,ATIVA,4929902,0810006;3314708;4120400;4211101;4213800;4221902;4221903;4222701;4299501;4311802;4313400;4321500;4322301;4322302;4330401;4330403;4330404;4391600;4399103;4399104;4399105;4399199;4520007;4639701;4649408;4651602;4661300;4673700;4712100;4921301;4922102;4922103;4923002;4929903;4930201;4930202;4930204;5229099;6190699;6209100;7111100;7112000;7739099;8020001;8121400;8122200;8129000;8211300;8219999,MANAUS,AM,"150000,00",01,CNAE_CARGA_TRANSPORTE
14002445000115,FOCO MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO LTDA,FOCO SEGURANCA ELETRONICA,MATRIZ,ATIVA,8020001,4753900,RECIFE,PE,"100000,00",01,PALAVRA_CHAVE_GR
22083674000130,NOVO MANA REPRESENTACAO COMERCIAL LTDA,EBS THECH RASTREAMENTO,MATRIZ,ATIVA,4619200,,SALVADOR,BA,"1000,00",01,PALAVRA_CHAVE_GR
13536315000108,"ALLIANCA PRESTADORA DE SERVICOS TERCEIRIZADOS, MONITORAMENTO E RASTREAMENTO LTDA",,MATRIZ,ATIVA,8111700,4759899;8020001;8130300,MOGI DAS CRUZES,SP,"100000,00",03,PALAVRA_CHAVE_GR
24699873000100,SOUSA SANTANA E GOMES LTDA,RASTREAR,MATRIZ,ATIVA,8020001,,TERESINA,PI,"20000,00",01,PALAVRA_CHAVE_GR
11862891000101,MS RISCOS E MOSSAS LTDA,MS RISCOS E MOSSAS,MATRIZ,ATIVA,4520002,4520005;4530703;4530704;4741500,LAURO DE FREITAS,BA,"100000,00",01,PALAVRA_CHAVE_GR
22463591000176,ALYNE OLIVEIRA SANTOS,JUA RASTREADORES,MATRIZ,ATIVA,4520007,3329599,JUAZEIRO DO NORTE,CE,"15000,00",01,PALAVRA_CHAVE_GR
22676681000145,CAR SYSTEM RASTREAMENTO LTDA,CAR SYSTEM,MATRIZ,ATIVA,8020001,9512600,MONTES CLAROS,MG,"10000,00",01,PALAVRA_CHAVE_GR
18301502000118,MR GERENCIAMENTO DE RESIDUOS E LOGISTICA REVERSA LTDA,ECO TI AMBIENTAL,MATRIZ,ATIVA,3811400,3313901;3701100;3702900;3812200;3821100;4399104;4530703;4530705;4687701;4687702;4687703;4752100;4753900;4923002;4929902;4930202;4930203;5212500;6209100;7111100;7112000;7490199;7711000;7719599;7739099;8020001;8129000;8299799;9511800;9521500,ARACAJU,SE,"990000,00",03,CNAE_CARGA_TRANSPORTE
18301502000207,MR GERENCIAMENTO DE RESIDUOS E LOGISTICA REVERSA LTDA,ECO TI AMBIENTAL,FILIAL,ATIVA,3811400,3701100;3702900;3812200;3821100;4530703;4530705;4687701;4687702;4687703;4752100;4753900;4923002;4929902;4930202;4930203;5212500;6209100;7111100;7112000;7490199;7711000;7719599;7739099;8020001;8129000;8299799;9511800;9521500,CAMACARI,BA,"990000,00",03,CNAE_CARGA_TRANSPORTE
14842451000180,BF HIDROS CONSULTORIA E MONITORAMENTO AMBIENTAL LTDA,HIDROS CONSULTORIA E MONITORAMENTO AMBIENTAL,MATRIZ,ATIVA,3511501,3312102;3321000;3513100;4614100;4669999;7120100;7490199;7739099,CAMPOS NOVOS,SC,"20000,00",05,PALAVRA_CHAVE_GR
10789166000192,F.C.M. MONITORAMENTO ELETRONICO LTDA,INVIOLAVEL ITAPEJARA D OESTE,MATRIZ,ATIVA,8020001,3329599;4742300;4751201;4752100;4753900;4757100;4759899;7729202;7739099;9512600;9521500,ITAPEJARA D'OESTE,PR,"150000,00",01,PALAVRA_CHAVE_GR
11033905000184,COOPERATIVA DE LOCACAO DE VEICULO E TRANSPORTE INDIVIDUAL DE PASSAGEIROS - COOPERLOC-ES,COOPERLOC-ES,MATRIZ,ATIVA,4923001,4923002;4929999;4930201;4930202;5229001;5229002;5320201;5320202;7711000;8020001,CARIACICA,ES,"4000,00",05,CNAE_CARGA_TRANSPORTE
24734856000159,GUARDIAO COMERCIO E SERVICO DE MONITORAMENTO LTDA,GUARDIAO,MATRIZ,ATIVA,8020001,1813001;1813099;3313999;4751201;4752100;4753900;4757100;5620102;6190699;7410202;7420001;7420003;7420004;7739099;8230001;8230002;9511800;9512600;9521500,PINHEIROS,ES,"300000,00",01,PALAVRA_CHAVE_GR
10173084000119,SERVSAT RASTREAMENTO E LOGISTICA LTDA,SERVSAT ACRE,MATRIZ,ATIVA,6399200,4120400;4222701;4311802;4322302;4329105;4330401;4330402;4330403;4391600;4399102;4512901;4530703;4530704;4542101;4651601;4723700;4751201;7119701;7711000;7732201;8020001;8129000;8130300,RIO BRANCO,AC,"120000,00",01,PALAVRA_CHAVE_GR
13040103000127,VR GERENCIADORA DE RISCOS LTDA,,MATRIZ,ATIVA,8020001,8291100,FORTALEZA,CE,"150000,00",03,PALAVRA_CHAVE_GR
